source	target	score	evalue
AHB32215.1	AHB32799.1	367	1e-128
AHB32215.1	AHB32861.1	228	3e-74
AHB32538.1	ACD37157.1	181	3e-55
AHB32538.1	AFS33314.1	177	8e-54
AHB32538.1	BAQ01494.1	175	3e-53
AHB32666.1	AHB32888.2	293	1e-100
AHB32666.1	AHB32746.2	187	7e-61
AHB32666.1	AHB32334.1	135	4e-39
AHB32888.2	AHB32746.2	363	4e-130
AHB32888.2	AHB32334.1	145	5e-43
AHB32774.1	AHB32438.2	342	4e-120
AHB32687.1	BAQ01743.1	166	3e-49
AHB32715.1	AHB32637.1	681	0.0
AHB32586.1	BAQ01516.1	365	3e-126
AHB32861.1	AHB32799.1	218	2e-70
CAI32823.1	CAI32843.1	875	0.0
CAI32823.1	CAI33631.1	137	9e-38
CAI32823.1	CAI33700.1	119	2e-31
CAI32843.1	CAI33631.1	137	8e-38
CAI32843.1	CAI33700.1	120	2e-31
CAI32935.1	CAI32867.1	930	0.0
CAI32889.1	CAI32910.1	820	0.0
CAI32889.1	CAI34454.1	804	0.0
CAI32910.1	CAI34454.1	801	0.0
CAI32973.1	CAI33029.1	744	0.0
CAI32973.1	CAI33011.1	636	0.0
CAI32973.1	CAI32993.1	635	0.0
CAI32993.1	CAI33011.1	749	0.0
CAI32993.1	CAI33029.1	655	0.0
CAI33011.1	CAI33029.1	656	0.0
CAI33105.1	CAI33084.1	811	0.0
CAI33105.1	CAI34733.1	773	0.0
CAI33105.1	CAI33048.1	770	0.0
CAI33105.1	CAI34436.1	181	2e-54
CAI33048.1	CAI34733.1	822	0.0
CAI33048.1	CAI33084.1	760	0.0
CAI33048.1	CAI34436.1	179	9e-54
CAI34733.1	CAI33084.1	764	0.0
CAI34733.1	CAI34436.1	182	4e-55
CAI33084.1	CAI34436.1	178	2e-53
CAI33207.1	CAI33188.1	720	0.0
CAI33207.1	CAI33128.1	720	0.0
CAI33207.1	CAI33169.1	432	4e-153
CAI33207.1	CAI33149.1	432	4e-153
CAI33128.1	CAI33188.1	759	0.0
CAI33128.1	CAI33169.1	437	7e-155
CAI33128.1	CAI33149.1	437	7e-155
